logIndex,logTime,¦¤logTime[ms],length,timeStamp[s],¦¤timeStamp[ms],seq,ID,msgcnt,¦¤msgcnt,Path Index,Offset,Offset(Adj),Cyclic Counter,AD2 flag,Speed Units,Tunnel,Bridge,Build-up Area,Retransmission,Update,Relative Probability,Functional Road Class,Part of Calculated route,Expressway Flag,Form of Way,Effective Speed Limit,Effective Speed Limit Type,Number of Lanes in driving direction
21899,1970-01-02 09:00:01.914511,8.55,8,1.91451,8.55,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
22528,1970-01-02 09:00:01.955659,41.147999999999996,8,1.955658,41.148,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
22647,1970-01-02 09:00:01.964774,9.115,8,1.964773,9.115,1,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
23570,1970-01-02 09:00:02.015704,50.93,8,2.015704,50.931,7,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
23713,1970-01-02 09:00:02.025415,9.710999999999999,8,2.025415,9.711,1,0xcaf0036d,0,0,2,8191,8191,0,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
24304,1970-01-02 09:00:02.066145,40.730000000000004,8,2.066145,40.73,7,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
24512,1970-01-02 09:00:02.076283,10.138,8,2.076283,10.138,1,0xcaf0036d,0,0,2,8191,8191,1,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
25337,1970-01-02 09:00:02.125746,49.463,8,2.125746,49.463,7,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
25482,1970-01-02 09:00:02.136318,10.572,8,2.136317,10.571,1,0xcaf0036d,0,0,2,8191,8191,2,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
26180,1970-01-02 09:00:02.175989,39.671,8,2.175989,39.672,7,0xcaf0036d,0,0,2,8191,8191,3,0,0,2,2,2,1,0,31,7,3,0,15,0,7,15
