
logIndex,logTime,ΔlogTime[ms],length,timeStamp[s],ΔtimeStamp[ms],seq,ID,msgcnt,Δmsgcnt,LaneID,分割数,分割番号,Number of Array,Instance ID,Is Retransmission,Is Update,Path Id,Offset[cm],End Offset[cm],End Offset Final,Confidence[%],Standard Deviation,Lane Number,Profile Type,Available,Profile Value
663654,2025-01-31 03:36:02.085774,0.0,1316,8453.719873,0.0,18397,0x10a,14373,1,5130010000000273798,3,1,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,=AB11
,,,,,,,,,,,,,,,,,,,,,,,,,,,=AB11
,,,,,,,,,,,,,,,,,,,,,,,,,,,=AB11
,,,,,,,,,,,,,,,,,,,,,,,,,,,=AB11
,,,,,,,,,,,,,,,,,,,,,,,,,,,=AB11
,,,,,,,,,,,,,,,,,,,,,,,,,,,=AB11
,,,,,,,,,,,,,,,,,,,,,,,,,,,=AB11
,,,,,,,,,,,,,,,,,,,,,,,,,,,=AB11
,,,,,,,,,,,,,,,,,,,,,,,,,,,=AB11
,,,,,,,,,,,,,,,,,,,,,,,,,,,=AB11
,,,,,,,,,,,,,,,,,,,,,,,,,,,=AB11
,,,,,,,,,,,,,,,,,,,,,,,,,,,=AB11
,,,,,,,,,,,,,,,,,,,,,,,,,,,=AB11
,,,,,,,,,,,,,,,,,,,,,,,,,,,=AB11
,,,,,,,,,,,,,,,,,,,,,,,,,,,=AB11
,,,,,,,,,,,,,,,,,,,,,,,,,,,レーン形状情報(2),"   *Lane ID: 5130010000000273791
   *Type: 0
   *形状要素点数: 18"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(1),"   *緯度[deg]: 36.04137529526869
   *軽度[deg]: 139.595485399383
   *高さ[cm]: 5984"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(2),"   *緯度[deg]: 36.041381665515104
   *軽度[deg]: 139.59550149263708
   *高さ[cm]: 5985"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(3),"   *緯度[deg]: 36.041400440978215
   *軽度[deg]: 139.59555178405614
   *高さ[cm]: 5986"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(4),"   *緯度[deg]: 36.041419551717446
   *軽度[deg]: 139.59560207547517
   *高さ[cm]: 5988"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(5),"   *緯度[deg]: 36.041438662456684
   *軽度[deg]: 139.59565236689423
   *高さ[cm]: 5989"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(6),"   *緯度[deg]: 36.041457773195916
   *軽度[deg]: 139.59570265831326
   *高さ[cm]: 5991"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(7),"   *緯度[deg]: 36.04147721921128
   *軽度[deg]: 139.5957529497323
   *高さ[cm]: 5993"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(8),"   *緯度[deg]: 36.04149632995052
   *軽度[deg]: 139.59580324115134
   *高さ[cm]: 5994"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(9),"   *緯度[deg]: 36.04151544068975
   *軽度[deg]: 139.59585353257037
   *高さ[cm]: 5996"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(10),"   *緯度[deg]: 36.04153455142899
   *軽度[deg]: 139.5959034887133
   *高さ[cm]: 5998"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(11),"   *緯度[deg]: 36.041553662168226
   *軽度[deg]: 139.59595411540846
   *高さ[cm]: 6000"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,形状要素点(12),"   *緯度[deg]: 36.041573108183584
   *軽度[deg]: 139.5960044068275
   *高さ[cm]: 6001"
