2025-09-29 18:33:13,363,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158491, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,365,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158493, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,366,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158501, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,369,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158503, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,369,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158587, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,372,packetAnalyzer ,ERROR   ,<Size Error> logIndex:158588, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,373,packetAnalyzer ,ERROR   ,<Size Error> logIndex:185625, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,374,packetAnalyzer ,ERROR   ,<Size Error> logIndex:185627, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,374,packetAnalyzer ,ERROR   ,<Size Error> logIndex:185630, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,378,packetAnalyzer ,ERROR   ,<Size Error> logIndex:185634, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,378,packetAnalyzer ,ERROR   ,<Size Error> logIndex:197892, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,379,packetAnalyzer ,ERROR   ,<Size Error> logIndex:197977, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,379,packetAnalyzer ,ERROR   ,<Size Error> logIndex:197979, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,384,packetAnalyzer ,ERROR   ,<Size Error> logIndex:197982, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,384,packetAnalyzer ,ERROR   ,<Size Error> logIndex:206411, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,385,packetAnalyzer ,ERROR   ,<Size Error> logIndex:206428, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,387,packetAnalyzer ,ERROR   ,<Size Error> logIndex:206434, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,388,packetAnalyzer ,ERROR   ,<Size Error> logIndex:208158, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,388,packetAnalyzer ,ERROR   ,<Size Error> logIndex:208159, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
2025-09-29 18:33:13,391,packetAnalyzer ,ERROR   ,<Size Error> logIndex:208162, Profile Message(0x10a), Error:'gbk' codec can't encode character '\u30fb' in position 711: illegal multibyte sequence
